final_ID,leaf_sample,Subplot,Species,leaf_area_cm2,leaf_mass_g,LMA_gm2,Year
3942,1,C01W,fagr,36.09,0.1232,34.13688002,2018
3943,1,C01W,fagr,46.17,0.1472,31.88217457,2018
3944,1,C01W,fagr,78.62,0.2663,33.87178835,2018
3948,1,C01W,fagr,45.91,0.1788,38.94576345,2018
3949,1,C01W,fagr,66.34,0.2351,35.43864938,2018
3955,1,C01W,quru,177.22,1.0768,60.7606365,2018
3947,1,C01W,quru,110.17,0.4927,44.72179359,2018
3980,1,C02E,acpe,182.12,0.5331,29.27190863,2018
3985,1,C02E,acpe,171.59,0.466,27.15775978,2018
3986,1,C02E,acpe,247.18,0.6438,26.04579659,2018
3988,1,C02E,acpe,124.35,0.3368,27.08484117,2018
3989,1,C02E,acpe,144.89,0.3681,25.40548002,2018
3990,1,C02E,acpe,45.94,0.1426,31.04048759,2018
3991,1,C02E,acpe,44.74,0.1402,31.33661153,2018
3992,1,C02E,acpe,335.29,1.0095,30.10826449,2018
3993,1,C02E,acpe,161.77,0.5427,33.54762935,2018
3981,1,C02E,pist,1.237,0.0078,63.05578011,2018
3982,1,C02E,pist,1.478,0.011,74.42489851,2018
3987,1,C02E,pist,1.383,0.0104,75.19884309,2018
1102,1,C02E,pist,1.447,0.0105,72.56392536,2018
1101,1,C02E,pist,1.302,0.0086,66.05222734,2018
3968,1,C02W,acpe,170.78,0.4925,28.83827146,2018
934,1,C02W,acpe,250.71,0.8742,34.86897212,2018
3976,1,C02W,acpe,162.46,0.4858,29.90274529,2018
931,1,C02W,acru,64.24,0.2726,42.43462017,2018
3977,1,C02W,amel,15.86,0.0522,32.91298865,2018
3969,1,C02W,fagr,37.27,0.1012,27.15320633,2018
3973,1,C02W,fagr,43.37,0.1108,25.54761356,2018
966,1,C02W,fagr,53.91,0.1468,27.23056947,2018
3974,1,C02W,fagr,92.89,0.24,25.83701152,2018
3978,1,C02W,fagr,43.51,0.1172,26.93633647,2018
3979,1,C02W,fagr,58.97,0.2018,34.22079023,2018
3970,1,C02W,pist,1.471,0.0128,87.01563562,2018
1274,1,C03E,acpe,126.75,0.31761,25.05798817,2018
1273,1,C03E,acpe,178.97,0.486,27.15538917,2018
1272,1,C03E,acpe,40.33,0.0877,21.74559881,2018
3181,1,C03E,acpe,256.51,0.7861,30.64597871,2018
3184,1,C03E,acpe,108.86,0.2794,25.66599302,2018
3185,1,C03E,acpe,64.99,0.15,23.08047392,2018
3186,1,C03E,acpe,231.12,0.6227,26.94271374,2018
1295,1,C03E,fagr,57.19,0.2098,36.68473509,2018
3179,1,C03E,fagr,70.83,0.1946,27.47423408,2018
1292,1,C03E,fagr,53.91,0.1617,29.99443517,2018
3182,1,C03E,fagr,64.68,0.1914,29.59183673,2018
3183,1,C03E,fagr,62.24,0.1641,26.36568123,2018
3166,1,C03W,acpe,167.2,0.4327,25.8791866,2018
3167,1,C03W,acpe,121.88,0.2827,23.19494585,2018
3168,1,C03W,acpe,108.71,0.26347,24.23604084,2018
3169,1,C03W,acpe,131.28,0.33711,25.67870201,2018
3173,1,C03W,acpe,146.82,0.40668,27.69922354,2018
3175,1,C03W,acpe,76.5,0.17091,22.34117647,2018
1198,1,C03W,fagr,61.62,0.15646,25.39110678,2018
3170,1,C03W,fagr,83.73,0.19545,23.34288785,2018
3171,1,C03W,fagr,65.82,0.18211,27.6678821,2018
3172,1,C03W,fagr,52.28,0.14089,26.94912012,2018
3174,1,C03W,fagr,42.5,0.11678,27.47764706,2018
3176,1,C03W,fagr,60.97,0.1875,30.75282926,2018
3321,1,C04W,acpe,127.87,0.3725,29.13114882,2018
3312,1,C04W,acru,28.65,0.1242,43.35078534,2018
3322,1,C04W,acru,41.14,0.1755,42.65921245,2018
1451,1,C04W,acru,28.58,0.1234,43.17704689,2018
3326,1,C04W,acru,43.75,0.1688,38.58285714,2018
3313,1,C04W,fagr,60.16,0.1674,27.82579787,2018
3316,1,C04W,fagr,43,0.1181,27.46511628,2018
3317,1,C04W,fagr,35.95,0.0913,25.39638387,2018
3318,1,C04W,fagr,53.09,0.182,34.28140893,2018
3323,1,C04W,fagr,34.05,0.1051,30.86637298,2018
3327,1,C04W,fagr,58.92,0.1894,32.14528174,2018
3314,1,C04W,pist,1.316,0.0108,82.0668693,2018
3329,1,C04E,acpe,141.52,0.449,31.72696439,2018
3333,1,C04E,acpe,99.45,0.28847,29.00653595,2018
3342,1,C04E,acpe,275.91,0.9341,33.85524265,2018
3338,1,C04E,acru,63.01,0.2451,38.89858753,2018
3339,1,C04E,acru,72.11,0.2967,41.1454722,2018
3330,1,C04E,fagr,33.26,0.0974,29.28442574,2018
3331,1,C04E,fagr,41.07,0.1347,32.79766253,2018
3334,1,C04E,fagr,100.1,0.34717,34.68231768,2018
3335,1,C04E,fagr,63.58,0.1703,26.78515256,2018
3340,1,C04E,fagr,69.07,0.2169,31.40292457,2018
3343,1,C04E,fagr,43.51,0.1303,29.94713859,2018
3344,1,C04E,fagr,49.08,0.1734,35.33007335,2018
647,1,D01E,acru,94.35,0.51102,54.16216216,2018
648,1,D01E,acru,49.35,0.22454,45.49949341,2018
649,1,D01E,acru,73.66,0.38456,52.20743959,2018
3214,1,D01E,acru,38.86,0.20344,52.35203294,2018
3216,1,D01E,acru,43.33,0.2063,47.61135472,2018
3217,1,D01E,acru,49.18,0.28909,58.78202521,2018
667,1,D01E,fagr,72.81,0.23215,31.88435654,2018
668,1,D01E,fagr,57.89,0.17941,30.99153567,2018
3213,1,D01E,fagr,36.13,0.0929,25.71270412,2018
689,1,D01E,pist,1.319,0.0108,81.88021228,2018
690,1,D01E,quru,62.85,0.26248,41.76292761,2018
697,1,D01E,quru,44.49,0.24554,55.18993032,2018
707,1,D01E,quru,55.02,0.23177,42.12468193,2018
3220,1,D01W,fagr,51.8,0.1881,36.31274131,2018
3221,1,D01W,pire,0.775,0.0104,134.1935484,2018
620,1,D01W,pist,1.182,0.0082,69.37394247,2018
625,1,D01W,pist,1.204,0.0089,73.92026578,2018
3224,1,D01W,pist,1.218,0.0102,83.74384236,2018
3225,1,D01W,pist,1.244,0.0108,86.81672026,2018
3226,1,D01W,pist,1.305,0.0108,82.75862069,2018
3227,1,D01W,pist,1.215,0.0102,83.95061728,2018
591,1,D01W,pist,1.34,0.0109,81.34328358,2018
3229,1,D01W,pist,1.238,0.0107,86.42972536,2018
3230,1,D01W,pist,1.184,0.0082,69.25675676,2018
637,1,D01W,quru,75.32,0.36201,48.06293149,2018
3283,1,D02E,acru,65.54,0.32021,48.85718645,2018
3284,1,D02E,acru,48.13,0.20355,42.29170995,2018
3286,1,D02E,acru,71.3,0.33772,47.36605891,2018
3287,1,D02E,acru,60.39,0.2856,47.29259811,2018
346,1,D02E,acru,30.02,0.12185,40.58960693,2018
3289,1,D02E,acru,63.4,0.3367,53.10725552,2018
3293,1,D02E,acru,29.6,0.1255,42.39864865,2018
3288,1,D02E,fagr,43.37,0.12617,29.09153793,2018
3290,1,D02E,fagr,38.49,0.13874,36.04572616,2018
3294,1,D02E,fagr,50.36,0.17055,33.86616362,2018
3285,1,D02E,pist,1.198,0.0091,75.95993322,2018
325,1,D02E,pist,1.33,0.0104,78.19548872,2018
3295,1,D02E,pist,1.271,0.0113,88.90637293,2018
3231,1,D02W,acru,86.3,0.33823,39.19235226,2018
3240,1,D02W,acru,53.85,0.25228,46.84865367,2018
3232,1,D02W,fagr,65.99,0.17053,25.84179421,2018
3233,1,D02W,fagr,61.1,0.14407,23.57937807,2018
3236,1,D02W,fagr,46.45,0.1426,30.69967707,2018
242,1,D02W,fagr,78.13,0.2342,29.97568156,2018
3237,1,D02W,fagr,68.41,0.20788,30.38737027,2018
3239,1,D02W,fagr,78.73,0.26481,33.63520894,2018
259,1,D02W,pist,1.224,0.0104,84.96732026,2018
277,1,D02W,pist,1.336,0.0108,80.83832335,2018
3242,1,D02W,pist,1.333,0.0118,88.52213053,2018
3243,1,D02W,pist,1.197,0.0096,80.20050125,2018
3201,1,D03E,acru,60.64,0.23289,38.40534301,2018
3202,1,D03E,acru,87.68,0.37756,43.06113139,2018
441,1,D03E,acru,66.21,0.31616,47.751095,2018
3205,1,D03E,acru,51.51,0.21631,41.99378761,2018
389,1,D03E,fagr,65.87,0.20595,31.26613026,2018
390,1,D03E,fagr,53.81,0.14094,26.19215759,2018
388,1,D03E,fagr,69.49,0.24514,35.27701828,2018
3208,1,D03E,fagr,57.02,0.19914,34.92458786,2018
3209,1,D03E,fagr,113.32,0.38874,34.30462407,2018
3210,1,D03E,fagr,66.6,0.19322,29.01201201,2018
414,1,D03E,quru,112.26,0.62268,55.46766435,2018
3206,1,D03E,quru,80.11,0.33179,41.4168019,2018
3187,1,D03W,acru,86.45,0.36643,42.38635049,2018
513,1,D03W,acru,63.48,0.34031,53.60901071,2018
3188,1,D03W,acru,86.64,0.46231,53.35987996,2018
3192,1,D03W,acru,40.41,0.20221,50.03959416,2018
3193,1,D03W,acru,23.52,0.11265,47.89540816,2018
3196,1,D03W,acru,38.5,0.19412,50.42077922,2018
3197,1,D03W,acru,39.91,0.20145,50.47607116,2018
3198,1,D03W,acru,60.02,0.24428,40.69976674,2018
526,1,D03W,fagr,54.79,0.19915,36.3478737,2018
527,1,D03W,fagr,82.28,0.30974,37.6446281,2018
3190,1,D03W,fagr,60.09,0.16473,27.41387918,2018
