Subplot,Veg_plot,In_out,Species,Filename,ID_tag_2018,ID_tag_added_2019_or_after,final_ID,Canopy_status,Maximum_DBH_estimate_when_tagged_cm,girdled?,Notes_2019,Notes_2020,Notes_2021
D01W,NE,o,pire,D01W_pire_01_07242018,NA,3221,3221,sap,1,n,,,
D01W,SE,o,pist,D01W_pist_03_07242018,NA,3224,3224,sap,3,n,,,
D01W,SW,o,pist,D01W_pist_04_07242018,NA,3225,3225,sap,4,n,,,
D01W,SW,o,pist,D01W_pist_05_07242018,NA,3226,3226,sap,3,n,,,
D01W,SW,o,pist,D01W_pist_06_07242018,NA,3227,3227,sap,5,n,,,
D01W,NW,o,pist,D01W_pist_08_07242018,NA,3229,3229,sap,4,n,,,
D01W,NW,o,pist,D01W_pist_09_07242018,NA,3230,3230,sap,5,n,,,
D02W,NE,o,acru,D02W_acru_01_07252018,NA,3231,3231,sap,1,n,,,
D02W,NE,o,fagr,D02W_fagr_01_07252018,NA,3232,3232,sap,5,n,,,
D02W,NE,o,fagr,D02W_fagr_02_07252018,NA,3233,3233,sap,3,n,,,
D02W,SE,o,fagr,D02W_fagr_03_07252018,NA,3236,3236,sap,2,n,,,
D02W,SE,o,fagr,D02W_fagr_05_07252018,NA,3237,3237,sap,1,n,,,
D02W,SW,i,fagr,D02W_fagr_06_07252018,NA,3239,3239,sap,1,n,,,
D02W,SW,o,acru,D02W_acru_02_07252018,NA,3240,3240,sap,3,n,,,
D02W,NW,o,pist,D02W_pist_03_07252018,NA,3242,3242,sap,3,n,,,
D02W,NW,o,pist,D02W_pist_04_07252018,NA,3243,3243,sap,6,n,branch cut; new 04,,
A02E,SE,o,acsa,A02E_acsa_01_08032018,NA,3246,3246,sap,4,n,,,
A02E,SE,o,fagr,A02E_fagr_03_08032018,NA,3247,3247,sap,2,n,,,
A02E,SE,o,fagr,A02E_fagr_04_08032018,NA,3248,3248,sap,1,n,,,
A02E,SW,i,acpe,A02E_acpe_03_08032018,NA,3249,3249,sap,1,n,,,
A02E,SW,i,acpe,A02E_acpe_04_08032018,NA,3250,3250,sap,1,n,,,
A02E,NW,i,acpe,A02E_acpe_05_08032018,NA,3252,3252,sap,1,n,,,
A02E,NW,i,acpe,A02E_acpe_06_08032018,NA,3253,3253,sap,1,n,,,
A02E,NW,i,acpe,A02E_acpe_07_08032018,NA,3254,3254,sap,1,n,,,
B03E,NE,i,fagr,B03W_fagr_01_07292018,NA,3257,3257,sap,1,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,NE,o,fagr,B03W_fagr_02_07292018,NA,3258,3258,sap,1,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,NE,o,fagr,B03W_fagr_03_07292018,NA,3259,3259,sap,2,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,SE,o,acpe,B03W_acpe_01_07292018,NA,3261,3261,sap,2,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,SE,o,fagr,B03W_fagr_04_07292018,NA,3262,3262,sap,1,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,SE,o,fagr,B03W_fagr_05_07292018,NA,3263,3263,sap,2,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,SW,i,fagr,B03W_fagr_06_07292018,NA,3265,3265,sap,1,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,SW,i,fagr,B03W_fagr_07_07292018,NA,3266,3266,sap,1,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,SW,o,fagr,B03W_fagr_08_07292018,NA,3267,3267,un,5,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,NW,o,acru,B03W_acru_02_07292018,NA,3270,3270,sap,2,n,Mistaken subplot ID in 2018; should be BO3E,,
B03E,NW,i,fagr,B03W_fagr_09_07292018,NA,3271,3271,sap,1,n,Mistaken subplot ID in 2018; should be BO3E,,
B03W,NE,o,fagr,B03E_fagr_02_07292018,NA,3272,3272,sap,1,n,Mistaken subplot ID in 2018; should be BO3W; could not locate the red flag during girdle,,
B03W,NE,o,fagr,B03E_fagr_03_07292018,NA,3273,3273,sap,1,n,Mistaken subplot ID in 2018; should be BO3W,,
B03W,SE,o,fagr,B03E_fagr_05_07292018,NA,3276,3276,sap,3,n,Mistaken subplot ID in 2018; should be BO3W,,
B03W,SE,o,fagr,B03E_fagr_06_07292018,NA,3277,3277,sap,2,n,Mistaken subplot ID in 2018; should be BO3W,,
B03W,SW,o,acru,B03E_acru_01_07292018,NA,3278,3278,sap,2,n,Mistaken subplot ID in 2018; should be BO3W,,
B03W,SW,o,fagr,B03E_fagr_07_07292018,NA,3279,3279,sap,1,n,Mistaken subplot ID in 2018; should be BO3W,,
B03W,SW,o,fagr,B03E_fagr_08_07292018,NA,3280,3280,sap,1,n,Mistaken subplot ID in 2018; should be BO3W,,
D02E,NE,o,acru,D02E_acru_01_07242018,NA,3283,3283,sap,2,n,,,
D02E,NE,o,acru,D02E_acru_02_07242018,NA,3284,3284,sap,2,n,,,
D02E,NE,o,pist,D02E_pist_01_07242018,NA,3285,3285,sap,2,n,,,
D02E,SE,o,acru,D02E_acru_03_07242018,NA,3286,3286,sap,3,n,,,
D02E,SE,o,acru,D02E_acru_04_07242018,NA,3287,3287,sap,3,n,,,
D02E,SE,o,fagr,D02E_fagr_01_07242018,NA,3288,3288,sap,3,n,,,
D02E,SW,o,acru,D02E_acru_06_07242018,NA,3289,3289,sap,3,n,,,
D02E,SW,o,fagr,D02E_fagr_02_07242018,NA,3290,3290,sap,1,n,,,
D02E,NW,o,acru,D02E_acru_07_07242018,NA,3293,3293,sap,2,n,,,
D02E,NW,o,fagr,D02E_fagr_03_07242018,NA,3294,3294,sap,1,n,,,
D02E,NW,i,pist,D02E_pist_03_07242018,NA,3295,3295,sap,1,n,,,
D04W,SE,o,acru,D04W_acru_01_07122018,NA,3297,3297,sap,1,n,,,
D04W,SE,o,pist,NA,NA,3298,3298,sap,2,n,,replacing girdled #0060,
D04W,NW,o,amel,D04W_amel_02_07122018,NA,3299,3299,sap,2,n,,,
D04E,NE,o,fagr,D04E_fagr_01_07122018,NA,3301,3301,sap,1,n,,,
D04E,SE,i,fagr,D04E_fagr_02_07122018,NA,3302,3302,sap,1,n,,,
