height_m,subplot_id,nested_subplot,Photo#,gap_fraction,openness,year
0,C04W,1,3088,7.07,5,2021
0,C04W,3,3089,6.59,5.32,2021
0,C04W,5,3090,5.9,4.19,2021
0,C04W,7,3091,4.88,3.78,2021
1,C04E,na,3092,5.74,5.48,2021
1,C04E,0,3093,10.24,7.4,2021
1,C04E,1,3094,14.08,9.13,2021
1,C04E,3,3095,16.33,11.11,2021
1,C04E,5,3096,1.73,1.41,2021
1,C04E,7,3097,6.16,4.37,2021
0,C04E,na,3098,4.96,4.18,2021
0,C04E,0,3099,7.88,5.64,2021
0,C04E,1,3100,10.86,7.18,2021
0,C04E,3,3101,12.24,8.26,2021
0,C04E,5,3102,2.18,1.87,2021
0,C04E,7,3103,5.04,3.39,2021
1,D04E,na,3106,12.61,10.42,2021
1,D04E,0,3107,20.8,14.73,2021
1,D04E,1,3108,32.98,21.91,2021
1,D04E,3,3109,10.94,8.52,2021
1,D04E,5,3110,25.13,16.82,2021
1,D04E,7,3111,19.7,14.91,2021
0,D04E,na,3112,13.44,11.73,2021
0,D04E,0,3113,22.33,15.52,2021
0,D04E,1,3114,29.02,19.2,2021
0,D04E,3,3115,14.09,10.44,2021
0,D04E,5,3116,20.31,13.18,2021
0,D04E,7,3117,17.13,12.28,2021
1,D04W,na,3118,13.79,12.46,2021
1,D04W,0,3119,15.26,12.95,2021
1,D04W,1,3120,29.04,20.37,2021
1,D04W,3,3121,37.37,24.81,2021
1,D04W,5,3122,29.04,20.33,2021
1,D04W,7,3123,33.76,23.43,2021
0,D04W,na,3124,14.02,12.4,2021
0,D04W,0,3125,17.82,14.37,2021
0,D04W,1,3126,23.17,15.32,2021
0,D04W,3,3127,26.87,17.74,2021
0,D04W,5,3128,16.47,11.41,2021
0,D04W,7,3129,21.78,15,2021
1,D02W,na,3130,8.85,6.83,2021
1,D02W,0,3131,11.13,7.69,2021
1,D02W,1,3132,18.54,12.74,2021
1,D02W,3,3133,4.53,3.65,2021
1,D02W,5,3134,20.39,14.25,2021
1,D02W,7,3135,22.12,16.4,2021
0,D02W,na,3136,8.92,6.83,2021
0,D02W,0,3137,13.29,9.09,2021
0,D02W,1,3138,10.79,7.12,2021
0,D02W,3,3139,7,5.23,2021
0,D02W,5,3141,14.34,9.68,2021
0,D02W,7,3142,18.53,12.44,2021
1,D02E,na,3143,16.87,13.34,2021
1,D02E,0,3144,23.46,16.56,2021
1,D02E,1,3145,27.88,19.2,2021
1,D02E,3,3146,13.01,9.31,2021
1,D02E,5,3147,18.01,13.44,2021
1,D02E,7,3148,19.22,14.47,2021
0,D02E,na,3149,8.84,7.1,2021
0,D02E,0,3150,20.52,14.03,2021
0,D02E,1,3151,24.11,16.54,2021
0,D02E,3,3152,9.5,6.42,2021
0,D02E,5,3154,16.8,11.75,2021
0,D02E,7,3155,13.03,9.04,2021
1,D03W,na,3156,10.95,8.89,2021
1,D03W,0,3157,11.2,7.64,2021
1,D03W,1,3158,15.01,10.25,2021
1,D03W,3,3159,3.92,3.02,2021
1,D03W,5,3160,3.26,2.69,2021
1,D03W,7,3161,11.53,8.52,2021
0,D03W,na,3162,6.49,5.72,2021
0,D03W,0,3163,12.28,8.1,2021
0,D03W,1,3164,14.87,9.54,2021
0,D03W,3,3165,4.9,3.83,2021
0,D03W,5,3166,4.46,3.52,2021
0,D03W,7,3167,8.82,6.11,2021
1,D03E,na,3168,8.01,6.63,2021
1,D03E,0,3169,12.53,8.96,2021
1,D03E,1,3170,20.26,13.2,2021
1,D03E,3,3171,12,8.8,2021
1,D03E,5,3172,17.21,11.97,2021
1,D03E,7,3173,9.15,6.67,2021
0,D03E,na,3174,6.66,6.38,2021
0,D03E,0,3175,10.75,7.47,2021
0,D03E,1,3176,15.88,10.46,2021
0,D03E,3,3177,11.51,8.14,2021
0,D03E,5,3178,10.27,7.09,2021
0,D03E,7,3179,8.13,6.08,2021
1,D01W,na,3180,5.59,4.32,2021
1,D01W,0,3181,5.69,3.83,2021
1,D01W,1,3182,4.84,3.18,2021
1,D01W,3,3183,5.68,4.08,2021
1,D01W,5,3184,5.32,3.73,2021
1,D01W,7,3185,8.84,6.12,2021
0,D01W,na,3186,4.19,3.63,2021
0,D01W,0,3187,5.28,3.52,2021
0,D01W,1,3188,6.24,4.13,2021
0,D01W,3,3189,5.84,4.08,2021
0,D01W,5,3190,5.15,3.47,2021
0,D01W,7,3191,7.31,4.9,2021
1,D01E,na,3192,4.14,3.28,2021
1,D01E,0,3193,4.77,3.37,2021
1,D01E,1,3194,7.37,4.76,2021
1,D01E,3,3195,5.21,3.84,2021
1,D01E,5,3196,5.62,4.1,2021
1,D01E,7,3197,7.85,5.69,2021
0,D01E,na,3198,5.15,4.35,2021
0,D01E,0,3199,5.13,3.71,2021
0,D01E,1,3200,7.26,4.74,2021
0,D01E,3,3201,4.85,3.51,2021
0,D01E,5,3202,5.05,3.45,2021
0,D01E,7,3203,6.72,4.79,2021
