plot,Subplot,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,vai.mean,vai.sd,vai.median,vai.column.max,vai.max.ht.mean,vai.max.ht.sd,vai.max.ht.median,vai.max,vai.mean.peak,vai.peak.sd,vai.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.return.ht,sky.fraction,canopy.cover,max.ht,scan.density,rumple,gap.variables,enl,fhd,entropy,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90
forte2021_D02E_EW.CSV,D02E,7.177202425,4.144950287,7.326623782,17.18061288,8.262162683,40,22.398,14.068675,16.55,3.978931095,2.924729627,3.762594901,8,5.825,5.058060336,4,8,1.968436766,2.104736228,1.268857641,1,0.025,0.642391304,380.3214398,13.19882208,14.35661992,6.934410945,5.358087163,4.248597996,3.5725,29.43030676,70.56969324,22.398,2601.4,5.075,0.945480314,19.54161401,2.531685974,7.870939969,1.380310862,59.72257933,62,34.52468039,8271,5,183.2312759,43578.86161,1.822,2.299,3.5725,7.028,12.298
forte2021_D02E_NS.CSV,D02E,9.04554841,4.980593774,7.369189838,24.80631435,10.29602363,40,22.119,17.123975,19.5555,4.063925148,2.884045081,3.980999687,8,7.875,6.144363688,6,6.8688174,2.083508018,1.736071983,1.903095309,0,0,0.620652174,376.3480656,13.86478289,13.56892999,5.700808433,7.612191074,5.597630042,6.085,28.30263344,71.69736656,22.119,2653.375,5.825,0.95352603,20.22936389,2.836231533,8.782212166,1.282254273,64.30344565,66,18.26098627,122,5,-0.41632863,3.067806248,1.797,2.572,6.085,11.454,17.848
forte2021_D02W_EW.CSV,D02W,7.988162093,3.553951516,7.048620197,12.63057138,8.72499517,40,20.598,14.57955,16.7895,3.834313096,2.931803647,3.006610707,8,6.125,4.455981287,5,7.966627157,2.079952213,2.077712589,0.92829781,0,0,0.638636364,319.5585929,13.41209138,11.81839235,5.55847664,5.782472914,4.57952113,4.336,29.21770577,70.78229423,20.598,2820.55,4.125,0.949132442,18.86641791,2.466408406,7.46136387,1.595605016,59.43971098,61,14.79101224,112,5,-0.654029999,3.686475348,1.621,2.324,4.336,7.88275,13.646
forte2021_D02W_NS.CSV,D02W,7.945413584,4.827108651,6.42651729,23.30097792,9.265422305,40,21.571,14.325575,18.6345,4.433565367,3.029440381,4.642892376,8,7.2,5.805390952,5,7.089071431,2.80867413,2.384282962,2.451727868,0,0,0.672826087,355.5672853,12.28729223,14.30348681,6.911574662,5.26097306,5.03069263,3.05,25.59284198,74.40715802,21.571,2732.6,7.95,0.930415149,18.50132734,2.296366141,7.052943734,1.41750423,59.03394944,60,13.77058599,111,0.496,-0.609671421,4.166122782,1.547,1.847,3.05,5.838,15.431
forte2021_D03E_EW.CSV,D03E,9.355228439,4.954109315,9.08609748,24.54319911,10.55698434,40,22.166,14.467675,16.1645,4.904848033,3.122771379,6.05814842,8,8.8,6.085712566,7.5,7.046605951,2.596214854,2.133517966,2.271815939,2,0.05,0.70326087,287.5086366,10.70492384,13.14964799,6.094811709,7.860515306,5.419070227,6.022,23.6991256,76.3008744,22.166,2681.95,4.35,0.950933384,18.94965675,2.753608073,8.532218683,1.64701109,71.82607437,74,17.71204723,119,5,-0.93163996,3.966345885,2.286,3.397,6.022,11.541,16.495
forte2021_D03E_NS.CSV,D03E,12.30886526,4.609499507,12.5,21.24748571,13.12343182,40,21.94,17.47735,18.7765,3.310065686,2.899029752,2.96692957,8,11.975,5.8550329,12,5.569989302,1.498557356,1.391011159,1.04393069,0,0,0.656521739,297.4277093,11.8836728,12.49824108,3.889653478,9.286721416,5.395713983,8.485,37.64727448,62.35272552,21.94,3000.35,3.25,0.942882229,19.14417178,2.8783601,8.889272468,1.830766449,68.33083882,70,21.28722661,137,5,-0.339093293,2.697451959,2.865,4.662,8.485,13.185,17.788
forte2021_D03W_EW.CSV,D03W,8.470310959,4.319931228,7.938915554,18.66180581,9.483745484,40,18.582,12.0967,12.708,5.154446479,3.219845236,7.074941772,8,8.325,5.68122188,6.5,5.925178251,2.62831706,1.854600961,2.813569922,1,0.025,0.66875,129.9679319,7.727270619,8.381958047,5.515756201,6.256636148,3.844524867,5.633,22.80447663,77.19552337,18.582,2848.25,4.3,0.918345918,15.82000451,2.779989745,8.123667602,1.748690961,72.78231107,74,206.6321468,61155,5,293.7386665,86832.27394,2.116,3.196,5.6325,8.059,10.811
forte2021_D03W_NS.CSV,D03W,7.804007493,4.350471835,6.855479148,18.92660519,8.908196956,40,20.906,13.377675,15.63,5.305579403,2.91550061,6.762298818,8,6.775,4.79041511,6,8,3.031328528,2.22475799,2.87082341,0,0,0.693181818,118.6574306,7.90497827,7.494581319,5.853003574,5.839670794,4.715342224,3.391,17.08874409,82.91125591,20.906,3245.85,5.375,0.949128387,18.44635628,2.458946187,7.475285419,1.33487303,68.26409959,70,14.82709762,120,5,-0.821138106,4.549332289,1.607,2.007,3.391,8.6635,13.381
forte2021_D04E_EW.CSV,D04E,6.003294618,2.798658554,5.359060916,7.832489705,6.608798963,40,15.492,9.5211,9.662,3.513337042,3.049672082,3.076054419,8,5.175,3.411049166,4,6.070918997,1.702693084,1.653733646,1.29540483,2,0.05,0.6078125,22.4121185,3.563098729,3.11712142,4.126946961,4.853327698,2.744913879,4.102,37.42052679,62.57947321,15.492,3055.275,4.25,0.887324205,12.49276224,2.123355833,5.818682445,1.579876844,62.29518166,64,15.92981762,108,5,-0.638349844,3.544698417,2.101,2.697,4.102,6.517,8.487
forte2021_D04E_NS.CSV,D04E,6.294413348,3.740964425,6.133157895,13.99481483,7.29825896,40,16.901,9.6261,9.7755,1.627220383,2.038160433,0.743412737,6.844751942,5.425,3.72026674,5.5,4.51278598,0.830422917,1.128115177,0.332428219,3,0.075,0.720833333,49.50703115,3.781835352,5.933359295,5.373900869,5.559608635,3.741415747,4.295,59.76543586,40.23456414,16.901,4182.225,3.575,0.946090711,14.55891892,2.171301482,6.139078733,1.444354741,58.54651076,60,17.16898812,106,4,-0.413779905,3.021512223,1.881,2.724,4.295,7.531,11.8506
forte2021_D04W_EW.CSV,D04W,5.303898626,3.188655111,4.663506288,10.16752142,6.16803648,40,14.547,8.25595,9.622,2.135552249,2.566683844,1.081604935,8,4.3,3.212156397,3,5.989028194,1.089206457,1.435094212,0.537437399,5,0.125,0.68125,20.65219369,2.868285099,3.524930394,4.541299757,4.741016572,3.105301635,3.441,54.39776679,45.60223321,14.547,3824.1,4.225,0.92060771,12.21843805,2.152750927,5.763742582,1.565673162,57.27662533,60,17.7782421,115,5,-0.338849142,2.777307814,1.85,2.354,3.441,6.957,9.957
forte2021_D04W_NS.CSV,D04W,5.546287824,3.790936086,4.376623839,14.37119641,6.691279782,40,16.618,9.3595,9.1325,3.088003859,2.804641944,2.225878053,8,4.55,3.754996671,3,4.741000978,1.290436517,1.254499129,1.07675639,5,0.125,0.630555556,33.97179695,3.655820006,4.539468805,4.805841382,4.802796202,3.427933904,3.382,40.76279484,59.23720516,16.618,3140.425,2.5,0.877088601,13.42109256,2.288092828,6.430653878,1.4495071,60.56843746,62,18.35471771,117,5,-0.322069558,2.846243817,1.898,2.497,3.382,5.971,10.5353
